n,fecha,encuestador,jesus_echeverri,santiago_gomez,cesar_hernandez,luis_hoyos,daniel_quintero,alfredo_ramos,juan_valderrama,juan_velez,victor_correa,beatriz_rave,jesus_ramirez,jairo_herran,luis_munoz,gemma_mejia,jorge_gutierrez,blanco,ninguno,ns_nr,m_error,fuente
1,2019-08-01,Datexco,8.1,2.7,1.6,1.9,7.7,21.6,1.3,1.9,0.5,0.8,0.7,0.5,0.4,0.2,0.2,NA,NA,NA,2.14,https://www.wradio.com.co/noticias/actualidad/estos-son-los-resultados-de-la-primera-encuesta-datexco-sobre-elecciones-regionales/20190806/nota/3936620.aspx
2,2019-08-08,Guarumo,6,3.4,NA,NA,4.8,40.1,3,2.4,NA,NA,NA,NA,NA,NA,NA,11.7,NA,23.9,2.5,https://www.eltiempo.com/bogota/como-van-los-candidatos-a-alcaldias-segun-encuesta-de-guarumo-agosto-2019-398460
3,2019-08-15,CNC,12,7,NA,NA,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,10,4.4,https://canal1.com.co/noticias/nacional/asi-va-la-intencion-de-voto-a-la-alcaldia-de-medellin-encuesta-cnc-cmi/
4,2019-08-22,"Los Mosqueteros",11.6,2.9,1,1.3,6.6,14.1,2.9,4.2,1.3,4.8,0.5,2.1,0.6,1,0.4,12.4,NA,32.2,2.9,https://www.wradio.com.co/noticias/actualidad/como-votarian-hoy-las-principales-ciudades-del-pais-en-las-elecciones-regionales/20190822/nota/3943571.aspx
5,2019-09-06,Invamer,12.7,7.1,0.5,0,21.4,29.9,5.6,3.6,3.9,6.2,0,2.6,0.5,1.3,0,4.7,NA,NA,6.6, https://www.bluradio.com/nacion/encuesta-invamer-lopez-366-galan-228-uribe-223-y-morris-137-225877-ie6223584
6,2019-09-23,Yanhaas,7,7,NA,0.3,14,19,2,4,3,3,NA,0.7,0,0.8,0.2,21,NA,18,4,https://www.larepublica.co/economia/ramos-se-mantiene-en-el-liderato-por-la-alcaldia-de-medellin-en-la-gran-encuesta-2911648
7,2019-09-24,"Los Mosqueteros",8.1,11.8,1,1.5,26.3,29.4,4.2,1.6,3.1,3.6,0.8,0.3,0.3,0.5,0.2,2.8,NA,7.5,2.9,https://www.larepublica.co/economia/ramos-se-mantiene-en-el-liderato-por-la-alcaldia-de-medellin-en-la-gran-encuesta-2911648
8,2019-09-29,Guarumo,2.8,9.8,1.4,1,18.3,25.5,1.4,6.5,1,0.8,0.3,2.6,0.8,1.7,1.8,8.7,NA,5.6,4.7,https://www.eltiempo.com/elecciones-colombia-2019/medellin/encuesta-a-la-alcaldia-de-medellin-ramos-y-quintero-puntean-417556
9,2019-10-11,Invamer,NA,15.1,NA,0.9,25,36.2,4.5,4.2,3.3,6.9,NA,0.6,0,0,0,3.5,NA,NA,6.2,https://www.bluradio.com/politica/alfredo-ramos-362-daniel-quintero-25-encuesta-invamer-para-la-alcaldia-medellin-229354-ie435
10,2019-10-24,Yanhaas,NA,12.9,NA,0.3,21.6,25,2.8,1.7,2.7,2.2,NA,0.8,0,0.7,0.8,15.5,NA,13.2,4,https://noticias.canalrcn.com/elecciones/alfredo-ramos-encabeza-la-intencion-de-voto-en-la-gran-encuesta-medellin-348769
11,2019-10-24,CNC,NA,13,NA,NA,30,32,4,NA,3,NA,NA,NA,NA,NA,NA,10,NA,NA,3.8,https://canal1.com.co/noticias/asi-va-la-intencion-de-voto-a-la-alcaldia-de-medellin-encuesta-cnc-cmi-2/
12,2019-10-25,Invamer,NA,15.9,NA,0.8,26.1,35.6,4.5,2.4,1.3,4.2,NA,0.4,0.4,1.6,0.2,6.5,NA,NA,NA,https://noticias.caracoltv.com/colombia-decide-2019/asi-esta-la-intencion-de-voto-la-alcaldia-de-medellin-tres-dias-de-elecciones-segun-encuesta-ie27972
